Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
2668,10.704412433314932,42.0710773537396,60.91726773210478,513.9233065351558,2194.479580059986,1252.1363533784734,100.0,1,,,,,True,True,False,False
2669,10.702412433314931,42.078539725268875,60.92473010363406,513.980813486564,2194.8698058016844,1252.1363533784734,100.0,1,,,,,True,True,False,False
2670,10.70041243331493,42.0810298987897,60.92722027715489,514.0,2195.0,1252.1363533784734,100.0,1,,,,,True,True,False,False
2671,10.69841243331493,42.07853957790244,60.924729956267626,513.9808134865641,2194.8698058016844,1252.1363533784734,100.0,1,,,,,True,True,False,False
2672,10.69641243331493,42.071075882758635,60.91726626112382,513.9233065351558,2194.479580059986,1252.1363533784734,100.0,1,,,,,True,True,False,False
2673,10.694412433314929,42.05866132587959,60.90485170424478,513.8276367683319,2193.830392356538,1252.1363533784734,100.0,1,,,,,True,True,False,False
2674,10.692412433314928,42.04133372545711,60.887524103822294,513.6940664102733,2192.924022069712,1252.1363533784734,100.0,1,,,,,True,True,False,False
2675,10.690412433314927,42.01914605667342,60.86533643503861,513.522961568047,2191.7629534974617,1252.1363533784734,100.0,1,,,,,True,True,False,False
2676,10.688412433314927,41.99216624199267,60.83835662035786,513.3147912281322,2190.3503690480397,1252.1363533784734,100.0,1,,,,,True,True,False,False
2677,10.686412433314926,41.96047688178118,60.80666726014637,513.0701259709608,2188.6901405172343,1252.1363533784734,100.0,1,,,,,True,True,False,False
2678,10.684412433314925,41.92417492700491,60.7703653053701,512.7896364069966,2186.7868184760478,1252.1363533784734,100.0,1,,,,,True,True,False,False
2679,10.682412433314925,41.883371296124764,60.72956167448995,512.4740913386372,2184.6456197978955,1252.1363533784734,100.0,1,,,,,True,True,False,False
2680,10.680412433314924,41.83819043866079,60.684380817025975,512.1243556529822,2182.272413359522,1252.1363533784734,100.0,1,,,,,True,True,False,False
2681,10.678412433314923,41.7887698482204,60.634960226585584,511.74138795123594,2179.673703954815,1252.1363533784734,100.0,1,,,,,True,True,False,False
2682,10.676412433314923,41.73525952808141,60.58144990644659,511.32623792124946,2176.856614465621,1252.1363533784734,100.0,1,,,,,True,True,False,False
2683,10.674412433314922,41.67782141268383,60.52401179104901,510.8800434603977,2173.8288663384133,1252.1363533784734,100.0,1,,,,,True,True,False,False
2684,10.672412433314921,41.61662874861446,60.462819126979646,510.40402755668356,2170.598758420353,1252.1363533784734,100.0,1,,,,,True,True,False,False
2685,10.67041243331492,41.551865438861064,60.39805581722625,509.89949493661163,2167.175144212722,1252.1363533784734,100.0,1,,,,,True,True,False,False
2686,10.66841243331492,41.48372535426988,60.329915732635065,509.36782848902425,2163.5674076040928,1252.1363533784734,100.0,1,,,,,True,True,False,False
2687,10.66641243331492,41.41241161625783,60.258601994623014,508.8104854746979,2159.7854371497356,1252.1363533784734,100.0,1,,,,,True,True,False,False
2688,10.664412433314919,41.33813585491143,60.184326233276614,508.2289935320947,2155.839598967785,1252.1363533784734,100.0,1,,,,,True,True,False,False
2689,10.662412433314918,41.26111744664467,60.107307825009855,507.62494649021033,2151.7407083264275,1252.1363533784734,100.0,1,,,,,True,True,False,False
